,INDICATOR_ID,INDICATOR_LABEL_EN
72,CR.1.RUR.F.WPIA,"Completion rate, primary education, rural, female, adjusted wealth parity index (WPIA)"
73,CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)"
74,CR.1.RUR.M,"Completion rate, primary education, rural, male (%)"
75,CR.1.RUR.M.WPIA,"Completion rate, primary education, rural, male, adjusted wealth parity index (WPIA)"
76,CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)"
77,CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)"
78,CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
79,CR.1.RUR.Q1.M,"Completion rate, primary education, rural, poorest quintile, male (%)"
80,CR.1.RUR.Q2,"Completion rate, primary education, rural, second quintile, both sexes (%)"
81,CR.1.RUR.Q2.F,"Completion rate, primary education, rural, second quintile, female (%)"
82,CR.1.RUR.Q2.GPIA,"Completion rate, primary education, rural, second quintile, adjusted gender parity index (GPIA)"
83,CR.1.RUR.Q2.M,"Completion rate, primary education, rural, second quintile, male (%)"
84,CR.1.RUR.Q3,"Completion rate, primary education, rural, middle quintile, both sexes (%)"
85,CR.1.RUR.Q3.F,"Completion rate, primary education, rural, middle quintile, female (%)"
86,CR.1.RUR.Q3.GPIA,"Completion rate, primary education, rural, middle quintile, adjusted gender parity index (GPIA)"
87,CR.1.RUR.Q3.M,"Completion rate, primary education, rural, middle quintile, male (%)"
88,CR.1.RUR.Q4,"Completion rate, primary education, rural, fourth quintile, both sexes (%)"
89,CR.1.RUR.Q4.F,"Completion rate, primary education, rural, fourth quintile, female (%)"
90,CR.1.RUR.Q4.GPIA,"Completion rate, primary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
91,CR.1.RUR.Q4.M,"Completion rate, primary education, rural, fourth quintile, male (%)"
92,CR.1.RUR.Q5,"Completion rate, primary education, rural, richest quintile, both sexes (%)"
93,CR.1.RUR.Q5.F,"Completion rate, primary education, rural, richest quintile, female (%)"
94,CR.1.RUR.Q5.GPIA,"Completion rate, primary education, rural, richest quintile, adjusted gender parity index (GPIA)"
95,CR.1.RUR.Q5.M,"Completion rate, primary education, rural, richest quintile, male (%)"
96,CR.1.RUR.WPIA,"Completion rate, primary education, rural, adjusted wealth parity index (WPIA)"
97,CR.1.URB,"Completion rate, primary education, urban, both sexes (%)"
98,CR.1.URB.F,"Completion rate, primary education, urban, female (%)"
99,CR.1.URB.F.WPIA,"Completion rate, primary education, urban, female, adjusted wealth parity index (WPIA)"
100,CR.1.URB.GPIA,"Completion rate, primary education, urban, adjusted gender parity index (GPIA)"
101,CR.1.URB.M,"Completion rate, primary education, urban, male (%)"
102,CR.1.URB.M.WPIA,"Completion rate, primary education, urban, male, adjusted wealth parity index (WPIA)"
103,CR.1.URB.Q1,"Completion rate, primary education, urban, poorest quintile, both sexes (%)"
104,CR.1.URB.Q1.F,"Completion rate, primary education, urban, poorest quintile, female (%)"
105,CR.1.URB.Q1.GPIA,"Completion rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)"
106,CR.1.URB.Q1.M,"Completion rate, primary education, urban, poorest quintile, male (%)"
107,CR.1.URB.Q2,"Completion rate, primary education, urban, second quintile, both sexes (%)"
108,CR.1.URB.Q2.F,"Completion rate, primary education, urban, second quintile, female (%)"
109,CR.1.URB.Q2.GPIA,"Completion rate, primary education, urban, second quintile, adjusted gender parity index (GPIA)"
110,CR.1.URB.Q2.M,"Completion rate, primary education, urban, second quintile, male (%)"
111,CR.1.URB.Q3,"Completion rate, primary education, urban, middle quintile, both sexes (%)"
112,CR.1.URB.Q3.F,"Completion rate, primary education, urban, middle quintile, female (%)"
113,CR.1.URB.Q3.GPIA,"Completion rate, primary education, urban, middle quintile, adjusted gender parity index (GPIA)"
114,CR.1.URB.Q3.M,"Completion rate, primary education, urban, middle quintile, male (%)"
115,CR.1.URB.Q4,"Completion rate, primary education, urban, fourth quintile, both sexes (%)"
116,CR.1.URB.Q4.F,"Completion rate, primary education, urban, fourth quintile, female (%)"
117,CR.1.URB.Q4.GPIA,"Completion rate, primary education, urban, fourth quintile, adjusted gender parity index (GPIA)"
118,CR.1.URB.Q4.M,"Completion rate, primary education, urban, fourth quintile, male (%)"
119,CR.1.URB.Q5,"Completion rate, primary education, urban, richest quintile, both sexes (%)"
